FROTA MOVIMENTO,,,,,,,,,,,
#,Carro,Modelo,Prefixo,Linhas,Status,Locação,Quinta,sexta,Sábado,Domingo,Segunda
1,12110,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,Vistoria,,,,
2,12500,O-500 RS,1108,BH X SANTO ANTONIO DO RIO ABAIXO,,MATRIZ,10532 - 16:00 - bh,10532 - 06:00 - LP,1108 - 07:00 - bh - 1108 - 14:30 - St,1108 - 07:00 - bh - 1108 - 14:30 - St,
3,12550,O-500 RS,1155-A,BH X CARMESIA VIA ITABIRA,,MATRIZ,1155 - 14:00 bh,1155A - 06:00 - car - 1155A - 14:00 - bh,1155A - 06:00 - car - 1155A - 14:00 - bh,,
4,13300,LD,1043,BH X ITAJUBA MATUTINO,PARADO,MATRIZ,,,,,
5,13330,LD,1043,BH X ITAJUBA MATUTINO,,MATRIZ,1119 - 12:30 bh,1119 - 11:00 SS,1119 - 12:30 bh,1119 - 11:00 SS,1119 - 12:30 bh
6,13400,LD,1309,BH x OURO FINO,,MATRIZ,1309 - 10:00 bh,1309 - 10:00 OF,1309 - 10:00 bh,1309 - 10:00 of,1309 - 10:00 bh
7,13440,LD,1309,BH x OURO FINO,PARADO,MATRIZ,,,,,
8,13500,LD,1178,BH X GUAXUPE,,MATRIZ,CH 1178 - 1043 - 21:00 - BH,1043 - 21:00 - ITJ,1043 - 21:00 - BH,1043 - 21:00 - ITJ,1043 - 21:00 - BH
9,13550,LD,1178,BH X GUAXUPE,,MATRIZ,1072 - 23:00 AL,1072 - 23:00 bh,1072 - 23:00 AL,1072 - 23:00 bh,1072 - 23:00 AL
10,13600,LD,1072-A,BH X ALFENAS NOTURNO,PARADO,MATRIZ,,,,,
11,13660,LD,1072-A,BH X ALFENAS NOTURNO,,MATRIZ,1178 - 12:00 - bh,1178 - 08:30 GX - 1043 - 21:15 bh,,,1043 - 21:15 - ITJ
12,13700,LD,1119,BH X SÃO SEBASTIAO DO PARAISO,,MATRIZ,CH 1050 - 1075 - 13:30 bh,1075 - 12:30 PÇ,1075 - 13:30 - BH,1075 - 12:30 PÇ,1075 - 13:30 - BH
13,13770,LD,1119,BH X SÃO SEBASTIAO DO PARAISO,PARADO,MATRIZ,,,,,
14,13800,LD,1050,BH X CASSIA NOTURNO,PARADO,MATRIZ,,,,,
15,13880,LD,1050,BH X CASSIA NOTURNO,,MATRIZ,1309 - 10:00 OF,1050 -22:00 - BH,1050 - 21:00 - CA,1050 -22:00 - BH,1050 - 21:00 - CA
16,13900,LD,1050-1,BH X PASSOS DIURNO,PARADO,MATRIZ,,,,,
17,13990,LD,1050-1,BH X PASSOS DIURNO,,MATRIZ,1050 - 21:00 CASS,CH 1050 - 1119 - 12:30 BH,1119 - 11:00 - SS,1119 - 11:00 - BH,1119 - 11:00 - SS
18,14000,LD,1075-5,BH X VARGINHA,,MATRIZ,CH 1043 - 1309 - 14:15 - BH,1309 - 10:00 - OF - 1072 - 23:00 - BH,1072 - 23:00 - AL,1072 - 23:00 - BH,1072 - 23:00 - AL
19,21700,O-500 R,RESERVA,RESERVA - MATRIZ,,MATRIZ,3965,3965,3965,3965,3965
20,23200,O-500 RSD,1053,BH X LAGOA DA PRATA,PARADO,MATRIZ,,,,,
21,23220,O-500 RSD,1053,LAGOA DA PRATA X BH,PARADO,MATRIZ,,,,,
22,23330,O-500 R,RESERVA,RESERVA - MATRIZ,,MATRIZ,1108 - 07:00 - bh - 1108 - 14:30 - ST,1108 - 07:00 - bh - 1108 - 14:30 - ST,1108 - 07:00 - bh - 1108 - 14:30 - ST,1108 - 07:00 - bh - 1108 - 14:30 - ST,1108 - 07:00 - bh - 1108 - 14:30 - ST
23,23400,O-500 R,1097-A,BH X SANTANA DO RIACHO,,MATRIZ,1097 - 07:30 bh - 1097 - 15:30 Sant,1097 - 07:30 bh - 1097 - 15:30 Sant,1097 - 07:30 bh - 1097 - 15:30 Sant,1097 - 07:30 bh - 1097 - 17:00 Sant,1097 - 07:30 bh - 1097 - 15:30 Sant
24,23440,O-500 R,1097-A,BH X SANTANA DO RIACHO,PARADO,MATRIZ,,,,,
25,23500,O-500 R,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
26,23550,O-500 R,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
27,23600,O-500 R,1047-2,EXTRA BH X FERROS VIA ITABIRA,,MATRIZ,3837 / 3787-1,3837 / 3787-1,3837 / 3787-1,3837 / 3787-1,3837 / 3787-1
28,23660,O-500 R,1078,EXTRA BH X PASSA TEMPO,,MATRIZ,1140 - 11:00 - bh - 1140 - 17:00 ol,10871 - 07:30 - BH - 10871 - 16:30 - SB - 1187 - 19:45 - BH,,,1187 - 16:30 - SJ
29,23700,O-500 R,1078,PASSA TEMPO X BH,,MATRIZ,1013 - 16:00 - Ita,1140 - 09:00 - BH - 1140 - 15:00 - OL - 1013 - 20:30 - BH,,,1013 - 19:00 - IT
30,23800,O-500 R,RESERVA,RESERVA - MATRIZ,,MATRIZ,1013 - 06:00 - Ita - 1140 - 15:00 bh,1140 - 07:00 - OL - 1013 - 12:00 - BH - 1013 - 18:30 - IT,,,
31,23880,O-500 R,RESERVA,RESERVA - MATRIZ,,MATRIZ,1078 - 06:00 - Passa - 1078 - 13:00 - bh,1078 - 06:00 - Passa - 1078 - 13:00 - bh,1078 - 06:00 - Passa - 1078 - 13:00 - bh,,1078 - 06:00 - Passa - 1078 - 13:00 - bh
32,23900,O-500 R,1013,EXTRA BH X ITABIRA,,MATRIZ,1097 - 06:00 - sant - 1097 - 15:15 - bh,1097 - 06:00 - sant - 1097 - 15:15 - bh,1097 - 06:00 - sant - 1097 - 15:15 - bh,,1097 - 06:00 - sant - 1097 - 15:15 - bh
33,23990,O-500 R,1013,EXTRA BH X ITABIRA,PARADO,MATRIZ,,,,,
